tipo_factura,id_criterio,criterio,codigo_producto,precio,codigo_corte,corte,categoria
Venta Carne,59,CARNE PARA ASAR,000010,22800.00,1239,T. CARNE PARA ASAR DE RES,Producto
Venta Carne,58,CARNE PARA SUDAR,000011,24500.00,867,(17484) CARNE DE RES SUDAR 500G,Producto
Venta Carne,58,CARNE PARA SUDAR,000011,24500.00,889,CARNE PARA SUDAR DE RES,Producto
Venta Carne,58,CARNE PARA SUDAR,000011,24500.00,380,GOULASH,Producto
Venta Carne,58,CARNE PARA SUDAR,000011,24500.00,380,GOULASH,Producto
Venta Carne,58,CARNE PARA SUDAR,000011,24500.00,1240,T. CARNE PARA SUDAR DE RES,Producto
Venta Carne,156,CARNES ESPECIALES,000055,0.00,890,DENVER STEAK,Producto
Venta Carne,156,CARNES ESPECIALES,000055,0.00,967,GOULASH FINO DE RES,Producto
Venta Carne,156,CARNES ESPECIALES,000055,0.00,1267,MUCHACHO ABIERTO EN SABANA PARA OREADA,Producto
Venta Carne,156,CARNES ESPECIALES,000055,0.00,895,OJO DE BIFE / RIB EYE,Producto
Venta Carne,31,CENTRO PIERNA,000012,26284.00,45,CENTRO DE PIERNA,Producto
Venta Carne,31,CENTRO PIERNA,000012,26284.00,45,CENTRO DE PIERNA,Producto
Venta Carne,31,CENTRO PIERNA,000012,26284.00,45,CENTRO DE PIERNA,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,311,BLOQUE DE CHATA,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,50,CHATA,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,50,CHATA,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,50,CHATA,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,307,CHATA DE RES,Producto
Venta Carne,39,CHATAS ENTERAS,000013,33515.00,282,CHATA PREMIUM,Producto
Venta Carne,57,CHATAS PORCIONADA,000001,0.00,314,CHATA EN MARIPOSA,Producto
Venta Carne,57,CHATAS PORCIONADA,000001,0.00,565,CHATA PORCIONADA           CUISINE & CO,Producto
Venta Carne,362,CHICHARRON DE CERDO,000026,11200.00,1411,CHICHARRON DE CERDO,Producto
Venta Carne,175,CHICHARRONES DE RES,000081,24661.00,810,CHICHARRON DE RES,Producto
Venta Carne,175,CHICHARRONES DE RES,000081,24661.00,810,CHICHARRONES DE RES,Producto
Venta Carne,361,CHULETA DE CERDO,000025,17700.00,1406,CHULETA DE CERDO,Producto
Venta Carne,76,CHULETON,000056,0.00,60,CHULETON,Producto
Venta Carne,76,CHULETON,000056,0.00,60,CHULETON,Producto
Venta Carne,41,COGOTE,000014,21123.00,65,COGOTE,Producto
Venta Carne,41,COGOTE,000014,21123.00,65,COGOTE,Producto
Venta Carne,41,COGOTE,000014,21123.00,65,COGOTE,Producto
Venta Carne,52,COLA,000053,21279.00,80,COLA,Producto
Venta Carne,52,COLA,000053,21279.00,80,COLA,Producto
Venta Carne,52,COLA,000053,21279.00,80,COLA,Producto
Venta Carne,52,COLA,000053,21279.00,934,COLA CNC,Producto
Venta Carne,176,CORAZON DE CUADRIL,000082,0.00,880,CORAZON DE CUADRIL,Producto
Venta Carne,176,CORAZON DE CUADRIL,000082,0.00,880,CORAZON DE CUADRIL,Producto
Venta Carne,178,CORDONES DE LOMO FINO,000084,0.00,285,CORDONES DE LOMO FINO,Producto
Venta Carne,178,CORDONES DE LOMO FINO,000084,0.00,285,CORDONES DE LOMO FINO,Producto
Venta Carne,106,CORREA,000015,0.00,90,CORREA,Producto
Venta Carne,106,CORREA,000015,0.00,90,CORREA,Producto
Venta Carne,106,CORREA,000015,0.00,90,CORREA,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,868,(17051) COSTILLA CARNUDA DE RES,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,904,CANAL DE CERDO - COSTILLA CON PIEL,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,95,COSTILLA,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,95,COSTILLA,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,95,COSTILLA,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,95,COSTILLA,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,1266,COSTILLA DE RES,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,430,COSTILLA EN ESCUDO,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,330,COSTILLA EN ESCUDO,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,100,COSTILLA EN TIRAS,Producto
Venta Carne,46,COSTILLA CON HUESO,000016,0.00,943,COSTILLA EN TIRAS,Producto
Venta Carne,365,COSTILLA DE CERDO CON PIEL,000021,17700.00,1407,COSTILLA DE CERDO CON PIEL,Producto
Venta Carne,107,COSTILLA DESPALADA,000017,18012.00,100,COSTILLA DESPALADA,Producto
Venta Carne,107,COSTILLA DESPALADA,000017,18012.00,100,COSTILLA DESPALADA,Producto
Venta Carne,174,COSTILLA DESPALADA CON FALDA,000078,19300.00,320,COSTILLA DESPALADA CON FALDA,Producto
Venta Carne,174,COSTILLA DESPALADA CON FALDA,000078,19300.00,320,COSTILLA DESPALADA CON FALDA,Producto
Venta Carne,345,COSTILLA ESPECIAL CERDO,000004,0.00,1382,COSTILLA ESPECIAL,Producto
Venta Carne,182,COSTILLA LLANERA,000092,18200.00,222,COSTILLA LLANERA,Producto
Venta Carne,351,COSTILLA SAN LOUIS CERDO,000005,17000.00,1383,COSTILLA SAN LOUIS,Producto
Venta Carne,373,D-ALETA,000001,29100.00,1112,D-ALETA,Producto
Venta Carne,184,D-ASADO DE TIRA,000002,1.00,1113,D-ASADO DE TIRA,Producto
Venta Carne,303,D-BIFE DE CHORIZO,000050,1.00,1324,D-BIFE DE CHORIZO,Producto
Venta Carne,185,D-BOLA DE BRAZO,000003,29800.00,1114,D-BOLA DE BRAZO,Producto
Venta Carne,186,D-BOLA DE PIERNA,000004,30500.00,1115,D-BOLA DE PIERNA,Producto
Venta Carne,187,D-CADERA,000005,32600.00,1116,D-CADERA,Producto
Venta Carne,220,D-CAPÓN,000038,33500.00,1172,D-CAPÓN,Producto
Venta Carne,183,D-CARNE PARA ASAR X 150 GR,000064,20000.00,1425,D-CARNE PARA ASAR X 150 GR,Producto
Venta Carne,188,D-CENTRO DE PIERNA,000006,32200.00,1117,D-CENTRO DE PIERNA,Producto
Venta Carne,189,D-CHATA,000007,48500.00,1118,D-CHATA,Producto
Venta Carne,190,D-CHATA PREMIUM,000008,1.00,1119,D-CHATA PREMIUM,Producto
